Qty	Value	Part Num	Package	Parts
4	1N4148W	1N4148W	SOD-123_MINI-SMA	D1, D2, D3, D4
2	2.2uF	C1608X7S1C225K080AC	0603-CAP	C1, C4
3	2k	ERJ-PA3F1002V	603	R01, R02, R03
1	2k	ERJ-PA3F2001V	603	R09
2	3.3 uH	LQM18PN3R3MGHD	603	L1, L2
3	10k	ERJ-PA3F1002V	603	R05, R10, R20
5	10uF	GRM188R60J106ME47D	0603-CAP	C2, C3, C5, C6, C7
9	100n	CGA2B3X7R1E104K050BB	402	C8, C9, C10, C11, C12, C56, C58, C59, C60
5	221	ERJ-PA3F2210V	603	R06, R07, R08, R11, R12
1	BATT_IN_JST	B2B-XH-A(LF)(SN)	JSTPH2	CN2
1	MCP9700T-E/TT	MCP9700T-E/TT	SOT95P237X112-3N	IC5
1	MCP73833T-AMI/MF	MCP73833DFN	DFN10_3X3MM	IC3
1	PHOTOCELLPTH	1528-2141-ND	PHOTOCELL	R04
4	PMV16XN	PMV16XNR	SOT23	Q1, Q2, Q3, Q4
2	RGB_LED	ASMB-MTB0-0A3A2	PLCC-4	LD1, LD2
1	RLED	LTST-C190KRKT	LEDM1608X80	LD3
8	SOIL_MOISTURE	SEN-13322	SOIL_MOISTURE	H1, H2, H3, H4, H5, H6, H7, H8
1	STM32F042K6T6	STM32F042K6T6	LQFP32-7X7	IC4
1	TLV379IDBVT	TLV379IDBVT	SOT95P280X145-5N	IC6
2	TPS73233DBVT	TPS73233DBVT	SOT23-5	IC1, IC2
1	USB_CONN	105133-0011	MOLEX_105133-0011	CN1
